Group	Postcode	Suburb Name	State		Group	"Turn Around Time
(Business Days)"	Cut Off Time	Next Order Cut Off	Next Corresponding Delivery Day	Delivery Day	Delivery Frequency	Delivery Company 
ACT - Metro	2581	Biala	ACT	BialaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Breadalbane	ACT	BreadalbaneACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Collector	ACT	CollectorACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Cullerin	ACT	CullerinACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Dalton	ACT	DaltonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Fish River	ACT	Fish RiverACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Gunning	ACT	GunningACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Gurrundah	ACT	GurrundahACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Lake George	ACT	Lake GeorgeACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Lerida	ACT	LeridaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Oolong	ACT	OolongACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Parkesbourne	ACT	ParkesbourneACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2581	Sponars Chalet	ACT	Sponars ChaletACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Aspen Island	ACT	Aspen IslandACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Barton	ACT	BartonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Blue Gum Point	ACT	Blue Gum PointACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Canberra	ACT	CanberraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Capital Hill	ACT	Capital HillACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Deakin	ACT	DeakinACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Duntroon	ACT	DuntroonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Government House	ACT	Government HouseACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Harman	ACT	HarmanACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Mount Pleasant	ACT	Mount PleasantACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Old Parliament House	ACT	Old Parliament HouseACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Parkes	ACT	ParkesACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Russell	ACT	RussellACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Telopea Park	ACT	Telopea ParkACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Weston Park	ACT	Weston ParkACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2600	Wollogorang	ACT	WollogorangACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2601	Acton	ACT	ActonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2601	Acton Peninsula	ACT	Acton PeninsulaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2601	Black Mountain	ACT	Black MountainACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2601	Canberra City	ACT	Canberra CityACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2601	Yarralumla	ACT	YarralumlaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Ainslie	ACT	AinslieACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Dickson	ACT	DicksonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Downer	ACT	DownerACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Ginns Gap	ACT	Ginns GapACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Hackett	ACT	HackettACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Lyneham	ACT	LynehamACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	North Canberra	ACT	North CanberraACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2602	Yarramundi Reach	ACT	Yarramundi ReachACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2603	Forrest	ACT	ForrestACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2603	Griffith	ACT	GriffithACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2603	Manuka	ACT	ManukaACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2603	Watson	ACT	WatsonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2604	Kingston	ACT	KingstonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2604	Red Hill	ACT	Red HillACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2605	Curtin	ACT	CurtinACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2605	Garran	ACT	GarranACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2605	Hughes	ACT	HughesACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2605	Narrabundah	ACT	NarrabundahACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2606	Chifley	ACT	ChifleyACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
